Year,ICPSR_State_Code,Alphanumeric_State_Code,State,Turnout_Rates_VEP_Total_Ballots_Counted,Turnout_Rates_VEP_Highest_Office,Turnout_Rates_VAP_Highest_Office,Numerators_Total_Ballots_Counted,Numerators_Highest_Office,Denominators_Voting_Eligible_Population_VEP,Denominators_Voting_Age_Population_VAP_,Non_citizen,Prison,Probation,Parole,Total_Ineligible_Felon,Overseas_Eligible
1988,43,10,Florida,,49,44.6,,4302313,8777510,9651236,7.8,34732,165475,2562,120032,
1988,44,11,Georgia,,40.6,39.1,,1809672,4459739,4631342,1.7,18787,121559,11308,90875,
1988,82,12,Hawaii,49.8,47.9,44.1,368567,354461,739890,803568,7.6,2300,0,0,2300,
1988,63,13,Idaho,63.1,61.3,59.9,421213,408968,667345,682522,2,1581,0,0,1581,
1988,21,14,Illinois,59.1,57.3,54.2,4697192,4559120,7950848,8410414,5.2,21081,0,0,21081,
1988,22,15,Indiana,55.6,54.3,53.6,2222811,2168621,3996319,4045785,0.9,11406,0,0,11406,
1988,31,16,Iowa,61.4,60.6,59.7,1240854,1225614,2021793,2052326,0.9,3034,13099,1945,11529,
1988,32,17,Kansas,,56,54.9,,993044,1774451,1808604,1.6,5817,0,0,5817,
1988,51,18,Kentucky,,49.3,48.8,,1322517,2680364,2709782,0.6,7119,7398,3443,14261,
1988,45,19,Louisiana,,55.4,54.2,,1628202,2941023,3005785,1.4,16242,0,7387,23629,
1988,2,20,Maine,,62.5,61.5,,555035,888612,901850,1.5,0,0,0,0,
1988,52,21,Maryland,52.5,51.6,48.5,1747350,1714358,3325582,3535730,4.2,14276,78619,9225,62811,
1988,3,22,Massachusetts,61.3,60,56.7,2689857,2632801,4385728,4642061,5.5,0,0,0,0,
1988,23,23,Michigan,56.7,55.5,54.2,3745751,3669163,6608812,6773776,2,27612,0,0,27612,
1988,33,24,Minnesota,68.8,67.9,66.2,2125119,2096790,3087194,3166668,1.5,2799,56901,1639,32889,
1988,46,25,Mississippi,,52,51.3,,931527,1792847,1815826,0.5,7384,6854,3177,13988,
1988,34,26,Missouri,,56.6,55.5,,2093713,3696905,3769751,0.9,12176,42728,7207,40747,
1988,64,27,Montana,66.7,64.4,63.7,378981,365674,568014,573791,0.8,1272,0,0,1272,
